"provinsi","kepadatan2019","jumlahpenduduk2020","rerataaktif03sd11","rerataterkonfirmasi03sd11","reratasembuh03sd11","reratameninggal03sd11","rasioaktif","rasioterkonfrimasi","rasiosembuh","rasiomeninggal","reratacrf","reratari"
"Aceh",93,5388100,17266.7778,45499.5556,26577.4444,1655.6667,312.0501,118.4209,202.7321,3254.3386,4.8474666807431825,45.82776074738099
"Bali",750,4414400,13687.0000,101577.7778,85267.1111,2621.3333,322.5250,43.4583,51.7714,1684.0285,6.370262662291293,64.09731679296904
"Banten",1338,12895300,20126.0000,72602.1111,49701.7778,2705.0000,640.7284,177.6160,259.4535,4767.2089,5.375473820851712,47.071810614902766
"Bengkulu",100,1994300,2231.6667,8126.1111,5434.7778,461.2222,893.6370,245.4187,366.9515,4323.9460,8.528195744816934,43.50398505938389
"Daerah Istimewa Yogyakarta",1227,3919200,6534.4444,29471.5556,22154.3333,794.1111,599.7755,132.9825,176.9044,4935.3295,3.7850096217296203,58.74959790962282
"DKI Jakarta",15900,10576400,169524.7778,853818.7778,659641.8889,24415.5556,62.3885,12.3872,16.0335,433.1829,4.728193048430526,50.87939056726539
"Gorontalo",107,1186300,3613.1111,29404.0000,24930.8889,841.5556,328.3320,40.3449,47.5835,1409.6514,3.099678192142516,55.63671426132654
"Jambi",72,3604200,3868.4444,7897.5556,3887.3333,137.4444,931.6923,456.3691,927.1652,26222.9588,0.9805239164092442,37.06453873090928
"Jawa Barat",1394,49565200,96827.1111,266567.4444,163016.5556,6543.2222,511.8938,185.9387,304.0501,7575.0446,4.5306400956131165,40.52933125163569
"Jawa Tengah",1058,34738200,67909.6667,274966.3333,190955.2222,16019.3333,511.5354,126.3362,181.9180,2168.5172,7.235473751974104,43.499414132585265
"Jawa Timur",831,39955900,91840.7778,543241.4444,410779.4444,39719.1111,435.0562,73.5509,97.2685,1005.9616,7.215879524185613,48.67130352685497
"Kalimantan Barat",34,5104900,2717.6667,13794.0000,10912.3333,148.6667,1878.4129,370.0812,467.8101,34337.8924,2.757394855900859,58.483521544894806
"Kalimantan Selatan",110,4268600,29918.5556,130423.5556,94600.0000,5773.8889,142.6740,32.7288,45.1226,739.2938,4.4779826059459875,43.31864086841364
"Kalimantan Tengah",18,2686300,9145.1111,44015.1111,33054.7778,1796.7778,293.7416,61.0313,81.2681,1495.0652,3.831776035253841,51.19716358224039
"Kalimantan Timur",29,3664700,24068.2222,93873.4444,66516.6667,3315.4444,152.2630,39.0387,55.0945,1105.3420,2.3089431462342045,50.3707141134343
"Kalimantan Utara",10,708400,1592.1111,8099.0000,6449.7778,66.6667,444.9438,87.4676,109.8332,10626.0000,0.8428014919543195,58.75670373596384
"Kepulauan Bangka Belitung",91,1469800,551.4444,3501.4444,2905.1111,43.8889,2665.3637,419.7696,505.9359,33489.1139,3.9861646641838595,61.29835545578065
"Kepulauan Riau",267,2309500,7357.8889,25499.0000,17340.3333,785.3333,313.8808,90.5722,133.1866,2940.7895,5.311574870963082,52.99513613790857
"Lampung",244,8534800,3765.4444,12087.6667,7783.1111,525.3333,2266.6116,706.0751,1096.5795,16246.4467,5.455612415040637,51.922109460646595
"Maluku",38,1787100,10767.6667,34524.8889,23176.7778,531.8889,165.9691,51.7627,77.1074,3359.9123,1.6346029226377141,49.586742131534976
"Maluku Utara",39,1252300,7530.6667,27250.0000,18742.7778,965.7778,166.2934,45.9560,66.8151,1296.6751,2.986080143581161,43.66132544322712
"Nusa Tenggara Barat",273,5225900,9624.6667,45277.4444,33166.7778,2428.4444,542.9695,115.4195,157.5643,2151.9537,3.9597479712014536,52.86849900326511
"Nusa Tenggara Timur",112,5513400,1724.6667,5349.1111,3546.2222,62.3333,3196.7917,1030.7133,1554.7249,88450.2674,0.8261852467606859,46.65360429251762
"Papua",11,3393100,34880.6667,79730.0000,43713.4444,1027.5556,97.2774,42.5574,77.6214,3302.1086,1.4476195936187812,37.237587509346454
"Papua Barat",9,986000,7089.3333,25656.3333,18166.6667,391.4444,139.0822,38.4311,54.2752,2518.8760,4.608461085269533,45.65450202312338
"Riau",80,6951200,25246.6667,79607.0000,52574.6667,1786.5556,275.3314,87.3190,132.2158,3890.8390,3.313746638142993,54.277831443792316
"Sulawesi Barat",82,1378100,2487.8889,8443.1111,5821.6667,129.6667,553.9235,163.2218,236.7192,10628.0206,2.216002328245071,49.71155185548547
"Sulawesi Selatan",189,8888800,46570.2222,200099.2222,147517.8889,5879.5556,190.8687,44.4220,60.2557,1511.8150,3.853563228798359,50.654339351699164
"Sulawesi Tengah",49,3081700,1679.8889,6844.5556,4916.1111,257.0000,1834.4666,450.2411,626.8573,11991.0506,4.00237431075492,55.34068820309538
"Sulawesi Tenggara",71,2703500,10035.2222,34762.2222,24106.5556,628.8889,269.4011,77.7712,112.1479,4298.8516,1.8135699214544434,48.866083018541644
"Sulawesi Utara",181,2512900,14572.7778,56400.3333,39283.7778,2471.5556,172.4380,44.5547,63.9679,1016.7281,5.184889946057781,44.54280178542977
"Sumatera Barat",130,5545700,28439.3333,80633.5556,50465.8889,1740.6667,195.0011,68.7766,109.8901,3185.9632,3.2917172227589444,48.99771977203225
"Sumatera Selatan",92,8600800,21400.3333,79843.5556,54079.3333,4213.8889,401.9003,107.7207,159.0404,2041.0600,6.841435839854976,45.351263123389586
"Sumatera Utara",200,14798400,35869.2222,116740.2222,75666.6667,5174.5556,412.5654,126.7635,195.5736,2859.8398,7.474218608911705,40.47069261526694
